4,4,5,1,18,97,246,122,13,5,4,1
3,1,5,2,7,107,222,115,15,6,3,4
5,3,4,5,12,100,221,117,13,4,3,2
4,2,3,4,11,84,187,89,7,3,2,1
4,5,2,2,12,121,213,97,17,5,4,3
0,4,3,4,13,107,194,112,12,1,3,5
4,2,0,3,11,96,190,81,8,3,2,3
3,5,1,5,14,89,247,101,16,6,6,6
3,2,4,5,13,118,245,115,16,1,0,3
7,2,3,2,9,126,249,93,15,1,2,3
0,1,2,3,16,128,238,100,11,1,4,3
3,5,4,3,10,105,229,106,11,1,5,5
4,4,4,2,13,97,199,84,15,2,2,5
5,1,2,2,12,101,188,100,14,5,2,2
3,9,2,3,12,89,173,74,7,2,4,7
3,4,4,3,8,78,197,105,9,5,0,3
1,3,3,3,12,106,273,113,16,2,4,5
1,3,0,2,11,97,203,106,14,6,1,5
0,3,4,3,6,98,208,89,13,2,2,1
3,2,5,2,13,109,256,126,9,4,2,2
3,2,3,2,4,8,3,73,172,141,119,37
4,2,3,3,2,7,4,55,137,79,150,43
5,3,5,6,4,4,7,60,163,114,178,74
2,4,1,1,2,7,4,43,146,119,174,61
5,6,1,1,3,3,5,59,121,109,156,61
1,1,3,1,2,3,6,57,196,113,123,37
5,2,5,4,3,2,6,62,153,82,138,45
5,2,2,5,1,3,5,56,140,99,198,68
3,3,2,1,1,2,3,47,133,106,133,40
3,4,5,3,3,1,5,55,203,119,149,55
3,1,2,3,5,2,6,66,197,126,183,67
3,2,2,2,1,1,6,73,205,103,116,43
2,3,3,0,0,2,4,84,172,129,171,60
7,3,0,5,4,4,5,49,116,108,194,80
3,1,2,2,4,7,6,42,145,111,140,56
1,2,0,2,5,2,7,53,136,101,135,57
8,2,3,3,4,5,5,63,183,119,177,53
1,3,2,2,3,2,2,49,155,113,173,49
8,1,1,2,1,2,1,70,168,118,123,51
3,2,2,2,1,2,5,68,165,123,190,66
0,2,3,47,117,37,2,6,65,165,68,1
1,1,6,39,115,51,8,6,55,142,53,5
4,2,3,41,100,34,8,5,50,155,47,6
2,2,10,34,112,56,3,6,48,138,58,7
3,2,6,48,139,65,3,7,79,210,59,3
1,5,4,46,137,45,2,4,53,129,54,5
3,3,5,44,147,55,2,7,86,212,94,4
4,4,10,59,163,54,8,10,50,135,53,6
7,2,7,55,117,42,7,7,69,229,80,5
2,3,6,33,120,47,11,7,43,154,51,7
1,2,4,48,164,65,3,2,57,150,69,6
3,5,4,29,99,57,8,4,59,159,54,5
7,5,4,36,83,33,2,4,57,172,60,8
1,3,6,69,185,61,6,4,47,135,50,5
2,5,10,41,98,30,3,7,58,147,71,6
6,2,8,43,130,58,6,4,63,176,81,8
3,2,2,53,95,43,6,5,54,144,56,6
3,1,5,63,168,63,8,2,59,163,49,2
3,2,3,49,146,54,5,5,69,216,76,6
0,3,3,38,124,39,7,5,75,195,73,8
